Date,VaR 99%,VaR 95%,VaR 90%
2019-05-14,4.131378444028955,2.512950225574333,1.7453127810234905
2019-05-15,4.019843884095284,2.444503649036641,1.6966957343977305
2019-05-16,3.827480310280755,2.325444590295356,1.6130894620593235
2019-05-17,3.7170019378790995,2.257627669476522,1.564749077334592
2019-05-20,3.89297588123547,2.3660153758880758,1.644097725615918
2019-05-21,3.7124315162478685,2.2537902133477643,1.5660252880841294
2019-05-22,3.4777140600719996,2.1104356139121223,1.4608296705504962
2019-05-23,3.6216718039007487,2.197614583711676,1.5270943568442823
2019-05-24,3.3631714201199485,2.0383771606016885,1.413757533903145
2019-05-28,3.191825859188106,1.9087610898591507,1.3225222408113433
2019-05-29,3.1297184433248204,1.871202746947052,1.2957396026473023
2019-05-30,2.933752759198388,1.7512361710691116,1.2102774321819656
2019-05-31,3.2636527359907754,1.9537572480388143,1.3534239523144413
2019-06-03,3.7855766045297345,2.2749135608348663,1.5816597788896503
2019-06-04,4.404510300553043,2.6560770130234546,1.8518493813610362
2019-06-05,4.109271598751698,2.4745678224828525,1.722702950443108
2019-06-06,3.8352932887461995,2.316698545243612,1.6109839042021306
2019-06-07,4.011123396103595,2.4254671078261443,1.6887719475279748
2019-06-10,3.8215620526759455,2.3276656121799086,1.6196855969038466
2019-06-11,3.53437076978512,2.149624543356593,1.4930370239483777
2019-06-12,3.3445340928521707,2.0318661987141278,1.4091061479036828
2019-06-13,3.1332028579892843,1.8967847214580915,1.3158236874733373
2019-06-14,2.968097599610323,1.7953177864954635,1.2430586877180227
2019-06-17,2.8224927351981948,1.705976133883394,1.1785396661347596
2019-06-18,2.9690127582070076,1.7967611608366354,1.243543871086897
2019-06-19,2.789281128956606,1.687471055911483,1.1661833987051466
2019-06-20,2.737576039613119,1.6564874911378857,1.1444809544847752
2019-06-21,2.579024225740521,1.5580933255309672,1.0750429298480273
2019-06-24,2.43451900771468,1.4587695427555818,1.0084747936001641
2019-06-25,2.9493033729687297,1.7861416170797195,1.2360965529371089
2019-06-26,2.7809405122630206,1.6809403561713125,1.1616792675598628
2019-06-27,2.622894950214948,1.5836453628358511,1.0932941382875332
2019-06-28,2.470135156765176,1.488989682730535,1.0263350044223136
2019-07-01,2.6080250087689993,1.575958457353798,1.0885854983165233
2019-07-02,2.471518395674834,1.4920729301089943,1.0297543927939234
2019-07-03,2.4243978197599545,1.4520274341587254,1.0027565327729262
